displacement,doors,fuel,kilowatts,location,manufacturer,mileage,model,price,title,year,color,cruiseControl,drivetrain,emissionStandard,rimSize,transmission,type,airCondition,navigation,registration,transmission_encoded,type_encoded
2.0,5-Apr,Benzin,228,Brčko,Audi,0,S3,109900,Audi S3 Limuzina TFSI Quattro S-tronic 310KS,2022,Siva,True,Sva četiri,Euro 6,19,Automatik,Sportski/kupe,False,True,False,2,5
3.0,5-Apr,Dizel,251,Sarajevo - Novi Grad,Audi,0,SQ5,198185,SQ5 SB TDI quattro Tiptronic,2022,Plava,False,Sva četiri,Euro 6,21,Automatik,SUV,True,True,True,2,6
2.0,5-Apr,Dizel,150,Sarajevo - Novi Grad,Audi,0,Q5,164185,Q5 40 TDI quattro S tronic S line,2022,Crna,True,Sva četiri,Euro 6,21,Automatik,SUV,True,True,True,2,6
2.0,5-Apr,Dizel,150,Sarajevo - Novi Grad,Audi,0,Q5,162582,Q5 40 TDI quattro S tronic S line,2022,Bijela,True,Sva četiri,Euro 6,21,Automatik,SUV,True,True,False,2,6
1.5,5-Apr,Benzin,110,Mostar,Audi,0,Q2,69950,Audi Q2 35 TFSI S tronic Advanced,2022,Zelena,False,Prednji,Euro 6,17,Automatik,SUV,True,False,False,2,6
2.0,5-Apr,Dizel,150,Banja Luka,Audi,0,Q5,127000,"Audi Q5 S line+ 40 TDI, NOVO, AKCIJA, 2022 g/p",2022,Bijela,True,Sva četiri,Euro 6,20,Automatik,SUV,True,True,False,2,6
2.0,5-Apr,Dizel,150,Banja Luka,Audi,0,Q5,119000,"Audi Q5 SB Advanced+ 40 TDI, NOVO, AKCIJA, 2022 g/p",2022,Bijela,True,Sva četiri,Euro 6,19,Automatik,SUV,True,True,False,2,6
2.0,5-Apr,Dizel,150,Banja Luka,Audi,0,Q5,114000,"Audi Q5 SB Advanced+ 40 TDI, NOVO, AKCIJA, 2022 g/p",2022,Siva,True,Sva četiri,Euro 6,19,Automatik,SUV,True,True,False,2,6
3.0,5-Apr,Dizel,210,Sarajevo - Novi Grad,Audi,0,Q8,215204,Audi Q8,2022,Bordo,True,Sva četiri,Euro 6,22,Automatik,SUV,True,True,False,2,6
3.0,5-Apr,Dizel,210,Brčko,Audi,0,A6,156872,Audi A6 Sport 50 TDI Quattro Tiptronic 286 ks,2022,Crna,True,Sva četiri,Euro 6,19,Automatik,Limuzina,False,True,False,2,3
2.0,5-Apr,Benzin,110,Brčko,Audi,0,A4,69000,Audi A4 35 TFSI S-tronic Advanced - AKCIJSKI MODEL,2022,Srebrena,True,Prednji,Euro 6,17,Automatik,Limuzina,False,False,False,2,3
3.0,5-Apr,Dizel,170,Brčko,Audi,0,Q8,179970,Audi Q8 45 TDI Quattro Tiptronic S-line,2023,Crna,True,Sva četiri,Euro 6,22,Automatik,SUV,True,True,False,2,6
3.0,5-Apr,Dizel,170,Brčko,Audi,0,Q8,179970,Audi Q8 TDI Quattro Tiptronic S-line Black Matrix,2023,Bijela,True,Sva četiri,Euro 6,21,Automatik,SUV,True,True,False,2,6
2.0,5-Apr,Dizel,147,Brčko,Audi,0,Q3,124888,Audi Q3 Sportback 40 TDI 200 ks Quattro S-tronic S-line,2023,Siva,True,Sva četiri,Euro 6,19,Automatik,SUV,True,True,False,2,6
3.0,5-Apr,Dizel,251,Brčko,Audi,0,SQ5,174900,Audi SQ5 Sportback TDI Quattro Tiptronic 341KS,2023,Siva,True,Sva četiri,Euro 6,21,Automatik,SUV,True,True,False,2,6
3.0,5-Apr,Dizel,210,Brčko,Audi,0,Q7,185770,Audi Q7 50 TDI Quattro S-line 286ks Panorama,2023,Crna,True,Sva četiri,Euro 6,21,Automatik,SUV,True,True,False,2,6
2.5,5-Apr,Benzin,294,Mostar,Audi,0,RSQ3,171710,Audi RSQ3 Sportback TFSI quattro stronic,2023,Zelena,True,Sva četiri,Euro 6,21,Automatik,SUV,True,True,False,2,6
3.0,5-Apr,Dizel,170,Brčko,Audi,0,Q7,149962,Audi Q7 45 TDI Quattro Tiptronic,2023,Crna,True,Sva četiri,Euro 6,19,Automatik,SUV,False,True,False,2,6
2.0,5-Apr,Benzin,228,Brčko,Audi,0,S3,109900,Audi S3 Sportback TFSI Quattro S-tronic 310KS,2023,Crvena,True,Sva četiri,Euro 6,19,Automatik,Sportski/kupe,True,True,False,2,5
2.0,5-Apr,Dizel,110,Tuzla,Audi,0,Q3,102294,"Audi Q3 SB 35 TDI quattro S tronic,2023",2023,Crna,True,Sva četiri,Euro 6,19,Automatik,SUV,True,True,False,2,6
2.0,5-Apr,Dizel,110,Brčko,Audi,0,Q3,94207,Audi Q3 Sportback 35 TDI Quattro S-tronic,2023,Crna,True,Sva četiri,Euro 6,18,Automatik,SUV,True,False,False,2,6
2.0,5-Apr,Dizel,85,Tuzla,Audi,0,A3,61100,"Audi A3 SB 30 TDI S tronic, AKCIJA",2023,Crvena,True,Prednji,Euro 6,16,Automatik,Malo auto,True,False,False,2,2
2.0,5-Apr,Dizel,85,Tuzla,Audi,0,A3,59650,Audi A3 SB 30 TDI S tronic,2023,Bijela,True,Prednji,Euro 5,16,Automatik,Malo auto,True,False,False,2,2
2.0,5-Apr,Dizel,110,Tuzla,Audi,0,Q3,79700,"AUDI  Q3  35 TDI   S tronic, 2023,SNIŽENO",2023,Bijela,True,Prednji,Euro 6,17,Automatik,SUV,True,True,False,2,6
2.0,5-Apr,Dizel,147,Brčko,Audi,0,Q3,119900,Audi Q3 Sportback 40 TDI Quattro S-line 200ks,2023,Bijela,True,Sva četiri,Euro 6,19,Automatik,SUV,True,True,False,2,6
0.6,3-Feb,Elektro,350,Brčko,Audi,0,e-tron GT,265511,Audi e-tron GT Quattro 476KS 2023.god,2023,Crna,True,Sva četiri,Euro 5,21,Automatik,SUV,True,True,False,2,6
1.5,5-Apr,Benzin,110,Mostar,Audi,0,A3,60150,Audi A3 Limousine 35 TFSI Stronic,2023,Bijela,True,Prednji,Euro 6,16,Automatik,Malo auto,True,False,False,2,2
2.0,5-Apr,Dizel,85,Mostar,Audi,0,A3,60150,Audi A3 Limousine 30 TDI Stronic,2023,Crna,True,Prednji,Euro 6,16,Automatik,Malo auto,True,False,False,2,2
3.0,5-Apr,Benzin,250,Brčko,Audi,0,Q8,185987,Audi Q8 55 TFSI Quattro S-line 340KS Black+,2023,Crna,True,Sva četiri,Euro 6,21,Automatik,SUV,True,True,False,2,6
3.0,5-Apr,Dizel,170,Brčko,Audi,0,Q8,177964,Audi Q8 TDI Quattro Tiptronic S-line,2023,Siva,True,Sva četiri,Euro 6,21,Automatik,SUV,True,True,False,2,6
3.0,5-Apr,Dizel,170,Brčko,Audi,0,Q8,182290,Audi Q8 TDI Quattro S-line,2023,Narandžasta,True,Sva četiri,Euro 6,21,Automatik,SUV,True,True,False,2,6
2.0,5-Apr,Dizel,110,Mostar,Audi,0,Q3,90630,Audi Q3 35 TDI Stronic Advanced,2023,Bijela,True,Prednji,Euro 6,18,Automatik,SUV,True,True,False,2,6
0.6,5-Apr,Elektro,220,Mostar,Audi,0,Q4 e-tron,170500,Audi Q4 e-tron Sportback 50 quattro S line,2023,Ljubičasta,True,Sva četiri,Euro 5,21,Automatik,SUV,True,True,False,2,6
4.0,5-Apr,Benzin,373,Brčko,Audi,0,SQ8,249920,Audi SQ8 TFSI Quattro S-line 507 ks,2023,Zelena,True,Sva četiri,Euro 6,16,Automatik,SUV,True,True,False,2,6
2.0,5-Apr,Dizel,85,Brčko,Audi,0,A3,61600,Audi A3 Limuzina 30 TDI S-tronic,2023,Plava,False,Prednji,Euro 6,16,Automatik,Malo auto,True,False,False,2,2
1.5,5-Apr,Benzin,110,Sarajevo - Novi Grad,Audi,0,A3,96598,Audi A3,2023,Plava,False,Prednji,Euro 6,19,Automatik,Malo auto,True,True,False,2,2
3.0,5-Apr,Dizel,253,Sarajevo - Novi Grad,Audi,0,S6,185963,Audi S6,2023,Bijela,True,Sva četiri,Euro 6,21,Automatik,Sportski/kupe,True,True,False,2,5
3.0,5-Apr,Dizel,170,Brčko,Audi,0,Q7,152044,Audi Q7 45 TDI Quattro Tiptronic,2023,Smeđa,True,Sva četiri,Euro 6,19,Automatik,SUV,True,True,False,2,6
3.0,5-Apr,Dizel,170,Brčko,Audi,0,Q7,152264,Audi Q7 45 TDI Quattro Tiptronic,2023,Siva,True,Sva četiri,Euro 6,19,Automatik,SUV,True,True,False,2,6
3.0,5-Apr,Dizel,170,Brčko,Audi,0,Q7,148305,Audi Q7 45 TDI Quattro Tiptronic,2023,Bijela,True,Sva četiri,Euro 6,19,Automatik,SUV,True,True,False,2,6
3.0,5-Apr,Dizel,170,Brčko,Audi,0,Q8,179944,Audi Q8 45 TDI Quattro Tiptronic S-line,2023,Srebrena,True,Sva četiri,Euro 6,21,Automatik,SUV,True,True,False,2,6
4.0,5-Apr,Benzin,373,Brčko,Audi,0,SQ8,241275,Audi SQ8 TFSI Quattro Tiptronic 507KS,2023,Crna,True,Sva četiri,Euro 6,16,Automatik,SUV,True,True,False,2,6
2.0,5-Apr,Dizel,85,Brčko,Audi,0,A3,59500,Audi A3 Limuzina 30 TDI S-tronic,2023,Bijela,False,Prednji,Euro 6,16,Automatik,Malo auto,True,False,False,2,2
3.0,5-Apr,Benzin,250,Brčko,Audi,0,Q8,199655,Audi Q8 55 TFSI Quattro Tiptronic S-line 340KS,2023,Narandžasta,True,Sva četiri,Euro 6,22,Automatik,SUV,True,True,False,2,6
1.5,5-Apr,Benzin,110,Mostar,Audi,0,A3,59650,Audi A3 Sportback 35 TFSI Stronic SS,2023,Crna,True,Prednji,Euro 6,16,Automatik,Malo auto,False,False,False,2,2
1.5,5-Apr,Benzin,110,Mostar,Audi,0,A3,59650,Audi A3 Sportback 35 TFSI Stronic SS,2023,Bijela,True,Prednji,Euro 6,16,Automatik,Malo auto,True,False,False,2,2
3.0,5-Apr,Dizel,170,Brčko,Audi,0,Q8,184624,Audi Q8 TDI Quattro Tiptronic S-line,2023,Crvena,True,Sva četiri,Euro 6,22,Automatik,SUV,True,True,False,2,6
2.0,5-Apr,Dizel,150,Mostar,Audi,0,Q5,141200,Audi Q5 Sportback 40 TDI quattro Stronic S line,2023,Crna,True,Sva četiri,Euro 6,20,Automatik,SUV,False,True,False,2,6
2.0,5-Apr,Dizel,150,Mostar,Audi,0,Q5,141900,Audi Q5 Sportback 40 TDI quattro Stronic S line,2023,Bijela,True,Sva četiri,Euro 6,19,Automatik,SUV,False,True,False,2,6
3.0,5-Apr,Dizel,210,Brčko,Audi,0,Q7,189900,Audi Q7 50 TDI Quattro S-Line 286 ks,2023,Siva,False,Sva četiri,Euro 6,21,Automatik,SUV,False,False,False,2,6
3.0,5-Apr,Dizel,170,Brčko,Audi,0,Q8,182976,Audi Q8 TDI Quattro Tiptronic S-line,2023,Bijela,True,Sva četiri,Euro 6,21,Automatik,SUV,True,True,False,2,6
3.0,5-Apr,Dizel,210,Brčko,Audi,0,Q7,189542,Audi Q7 50 TDI Quattro S-line 7 sjedišta 286 ks,2023,Siva,True,Sva četiri,Euro 6,21,Automatik,SUV,True,True,False,2,6
2.9,5-Apr,Benzin,331,Mostar,Audi,0,RS4,223020,Audi RS4 Avant quattro Tiptronic,2023,Siva,True,Sva četiri,Euro 6,20,Automatik,Karavan,True,True,False,2,4
2.0,5-Apr,Dizel,85,Brčko,Audi,0,A3,57900,Audi A3 Limuzina 30 TDI AKCIJSKI MODEL,2023,Crna,True,Prednji,Euro 6,16,Manuelni,Malo auto,True,False,False,0,2
2.0,5-Apr,Dizel,85,Brčko,Audi,0,A3,59650,Audi A3 Sportback 30 TDI S-tronic - AKCIJSKA CIJENA,2023,Bijela,True,Prednji,Euro 6,16,Automatik,Malo auto,True,False,False,2,2
3.0,5-Apr,Dizel,170,Brčko,Audi,0,Q8,188502,Audi Q8 TDI Quattro Tiptronic S-line,2023,Bež,True,Sva četiri,Euro 6,22,Automatik,SUV,True,True,False,2,6
3.0,5-Apr,Dizel,210,Brčko,Audi,0,Q8,199982,Audi Q8 50 TDI Quattro Tiptronic S-line 286 ks,2023,Crna,True,Sva četiri,Euro 6,16,Automatik,SUV,True,True,False,2,6
3.0,5-Apr,Dizel,210,Brčko,Audi,0,Q8,199574,Audi Q8 50 TDI Quattro Tiptronic S-line 286 ks,2023,Bijela,True,Sva četiri,Euro 6,22,Automatik,SUV,True,True,False,2,6
3.0,5-Apr,Dizel,210,Brčko,Audi,0,Q8,199574,Audi Q8 50 TDI Quattro Tiptronic S-line 286 ks,2023,Srebrena,True,Sva četiri,Euro 6,22,Automatik,SUV,True,True,False,2,6
3.0,5-Apr,Dizel,170,Brčko,Audi,0,Q8,179970,Audi Q8 45 TDI Quattro Tiptronic S-line,2023,Crna,True,Sva četiri,Euro 6,22,Automatik,SUV,True,True,False,2,6
3.0,5-Apr,Dizel,210,Brčko,Audi,0,Q7,189900,Audi Q7 50 TDI Quattro S-Line 286 ks,2023,Siva,False,Sva četiri,Euro 6,21,Automatik,SUV,False,False,False,2,6
2.0,5-Apr,Dizel,110,Banja Luka,Audi,0,Q3,79600,Audi Q3 Advanced 35 TDI S tronic,2023,Siva,True,Prednji,Euro 6,18,Automatik,SUV,True,True,False,2,6
0.6,5-Apr,Elektro,220,Mostar,Audi,0,Q4 e-tron,174150,Audi Q4 e-tron Sportback 50 quattro S Line,2023,Siva,True,Sva četiri,Euro 6,20,Automatik,SUV,False,True,False,2,6
0.6,5-Apr,Elektro,220,Mostar,Audi,0,Q4 e-tron,174150,Audi Q4 e-tron Sportback 50 quattro S Line,2023,Siva,True,Sva četiri,Euro 6,20,Automatik,SUV,False,True,False,2,6
2.0,5-Apr,Dizel,110,Banja Luka,Audi,0,Q3,79600,Audi Q3 Advanced 35 TDI S tronic,2023,Siva,True,Prednji,Euro 6,18,Automatik,SUV,True,True,False,2,6
2.0,5-Apr,Dizel,147,Mostar,Audi,0,Q3,118300,Audi Q3 Sportback 40 TDI quattro Stronic S line,2023,Siva,True,Sva četiri,Euro 6,19,Automatik,SUV,False,True,False,2,6
2.0,5-Apr,Dizel,110,Mostar,Audi,0,Q3,102150,Audi Q3 35 TDI quattro Stronic S line,2023,Crna,True,Sva četiri,Euro 6,18,Automatik,SUV,False,True,False,2,6
0.6,5-Apr,Elektro,350,Sarajevo - Novi Grad,Audi,0,e-tron GT,260044,Audi e-tron GT 2023,2023,Crna,True,Sva četiri,Euro 5,16,Automatik,SUV,False,True,False,2,6
0.6,5-Apr,Elektro,220,Sarajevo - Novi Grad,Audi,0,Q4 e-tron,170455,Audi Q4 e-tron 2023,2023,Ljubičasta,True,Sva četiri,Euro 5,16,Automatik,SUV,False,True,False,2,6
4.0,5-Apr,Benzin,373,Sarajevo - Novi Grad,Audi,0,SQ7,252734,Audi SQ7 2023,2023,Bijela,True,Sva četiri,Euro 6,22,Automatik,SUV,False,True,False,2,6
2.0,5-Apr,Dizel,110,Sarajevo - Novi Grad,Audi,0,Q3,107904,Audi Q3 2023,2023,Srebrena,True,Sva četiri,Euro 6,19,Automatik,SUV,False,True,False,2,6
2.0,5-Apr,Dizel,110,Sarajevo - Novi Grad,Audi,0,Q3,107904,Audi Q3 2023,2023,Srebrena,True,Sva četiri,Euro 5,16,Automatik,SUV,False,True,False,2,6
2.0,5-Apr,Dizel,85,Sarajevo - Novi Grad,Audi,0,A3,58498,Audi A3 2023,2023,Plava,True,Prednji,Euro 6,16,Automatik,Malo auto,False,False,False,2,2
2.0,5-Apr,Dizel,110,Sarajevo - Novi Grad,Audi,0,Q3,88006,Audi Q3 2023,2023,Crna,False,Sva četiri,Euro 6,17,Automatik,SUV,False,True,False,2,6
1.5,5-Apr,Benzin,110,Sarajevo - Novi Grad,Audi,0,A3,56457,Audi A3 2023,2023,Crna,False,Prednji,Euro 6,16,Manuelni,Malo auto,False,False,False,0,2
2.0,5-Apr,Dizel,150,Banja Luka,Audi,0,Q5,131000,"Audi Q5 40TDI Quattro , S line, NOVO!",2023,Plava,True,Sva četiri,Euro 6,18,Automatik,SUV,False,True,False,2,6
1.5,5-Apr,Benzin,110,Sarajevo - Novi Grad,Audi,0,A3,96598,Audi A3 2023,2023,Plava,True,Prednji,Euro 6,19,Automatik,Malo auto,False,True,False,2,2
2.0,5-Apr,Benzin,228,Sarajevo - Novi Grad,Audi,0,S3,120250,Audi S3 2023,2023,Siva,True,Sva četiri,Euro 6,16,Automatik,Sportski/kupe,False,True,False,2,5
2.0,5-Apr,Dizel,85,Brčko,Audi,0,A3,60151,Audi A3 Limuzina 30 TDI S-tronic AKCIJSKI MODEL,2023,Bijela,True,Prednji,Euro 6,16,Automatik,Malo auto,False,False,False,2,2
2.5,5-Apr,Benzin,294,Sarajevo - Novi Grad,Audi,0,Q3,108066,Audi Q3 Sportback,2023,Crna,False,Prednji,Euro 5,20,Automatik,SUV,False,True,False,2,6
2.0,5-Apr,Benzin,228,Sarajevo - Novi Grad,Audi,0,S3,110500,Audi S3 Sporback*akcija*,2023,Siva,False,Sva četiri,Euro 5,19,Automatik,Sportski/kupe,False,True,False,2,5
2.0,5-Apr,Benzin,228,Sarajevo - Novi Grad,Audi,0,S3,120250,Audi S3 Limousine,2023,Crna,False,Sva četiri,Euro 5,19,Automatik,Sportski/kupe,False,True,False,2,5
1.5,5-Apr,Benzin,110,Sarajevo - Novi Grad,Audi,0,A3,85900,Audi A3 Sportback Sline *akcija*,2023,Plava,False,Prednji,Euro 5,19,Automatik,Malo auto,False,True,False,2,2
1.0,5-Apr,Elektro,300,Brčko,Audi,0,Q8 e-tron,249311,Audi Q8 e-tron 55 Quattro S-line 408 ks,2023,Siva,True,Sva četiri,Euro 6,21,Automatik,SUV,False,True,False,2,6
4.0,5-Apr,Benzin,441,Brčko,Audi,0,RSQ8,338226,Audi RSQ8 Quattro Tiptronic 600 ks,2023,Plava,True,Sva četiri,Euro 6,23,Automatik,SUV,False,True,False,2,6
4.0,5-Apr,Benzin,441,Brčko,Audi,0,RSQ8,328883,Audi RSQ8 Quattro Tiptronic 600 ks,2023,Crna,True,Sva četiri,Euro 6,23,Automatik,SUV,False,True,False,2,6
1.0,5-Apr,Elektro,220,Tuzla,Audi,0,Q4 e-tron,170455,"Audi Q4 e-tron sportback 50 quatrro, DODATNI POPUST",2023,Ljubičasta,True,Sva četiri,Euro 6,21,Automatik,SUV,False,True,False,2,6
3.0,5-Apr,Dizel,210,Brčko,Audi,0,A8,239508,Audi A8 50 TDI Quattro S-line 286 ks BLACK+,2023,Crna,True,Sva četiri,Euro 6,20,Automatik,Limuzina,True,True,False,2,3
4.0,5-Apr,Benzin,441,Brčko,Audi,0,RS7,294800,Audi RS7 Sportback 600 KS,2023,Crna,True,Sva četiri,Euro 6,22,Automatik,Limuzina,True,True,False,2,3
2.0,5-Apr,Dizel,150,Tuzla,Audi,0,A6,142605,"Audi A6 40 TDI quattro, 2023 god.",2023,Siva,True,Sva četiri,Euro 6,19,Automatik,Limuzina,False,True,False,2,3
2.0,5-Apr,Benzin,110,Brčko,Audi,0,A4,78800,Audi A4 35 TFSI S-tronic S-line Competition - AKCIJA,2023,Plava,True,Prednji,Euro 6,19,Automatik,Limuzina,True,False,False,2,3
2.0,5-Apr,Benzin,110,Brčko,Audi,0,A4,78000,Audi A4 35 TFSI S-tronic S-line Competition - AKCIJA,2023,Siva,True,Prednji,Euro 6,19,Automatik,Limuzina,True,False,False,2,3
2.0,5-Apr,Benzin,110,Mostar,Audi,0,A4,65600,Audi A4 35 TFSI Advanced,2023,Bijela,True,Prednji,Euro 6,17,Manuelni,Limuzina,True,False,False,0,3
2.0,5-Apr,Benzin,110,Mostar,Audi,0,A4,78000,Audi A4 35 TFSI Stronic S Line Competition,2023,Crna,True,Prednji,Euro 6,19,Automatik,Limuzina,True,False,False,2,3
2.0,5-Apr,Benzin,110,Mostar,Audi,0,A4,78000,Audi A4 35 TFSI Stronic S Line Competition,2023,Siva,True,Prednji,Euro 6,19,Automatik,Limuzina,True,False,False,2,3
3.0,5-Apr,Dizel,210,Mostar,Audi,0,A8,265300,Audi A8 L 50 TDI quattro Tiptronic,2023,Crna,True,Sva četiri,Euro 6,20,Automatik,Limuzina,True,True,False,2,3
2.0,5-Apr,Benzin,110,Mostar,Audi,0,A4,69150,Audi A4 35 TFSI Stronic Advanced,2023,Crna,True,Prednji,Euro 6,17,Automatik,Limuzina,True,False,False,2,3
2.0,5-Apr,Benzin,110,Mostar,Audi,0,A4,78000,Audi A4 35 TFSI Stronic S Line Competition,2023,Bijela,True,Prednji,Euro 6,19,Automatik,Limuzina,True,False,False,2,3
3.0,5-Apr,Dizel,210,Brčko,Audi,0,A6,158059,Audi A6 50 TDI Quattro Tiptronic 286 ks NOVI MODEL,2023,Crna,True,Sva četiri,Euro 6,19,Automatik,Limuzina,False,True,False,2,3
3.0,5-Apr,Dizel,210,Sarajevo - Novi Grad,Audi,0,A7,190152,Audi A7 Sportback,2023,Crna,True,Sva četiri,Euro 5,20,Automatik,Limuzina,False,True,False,2,3
3.0,5-Apr,Dizel,210,Sarajevo - Novi Grad,Audi,0,Q8,199900,Audi Q8 50 TDI Quattro 3x S-Line Panorama 2024 Novi Model,2024,Crna,True,Sva četiri,Euro 6,21,Automatik,SUV,False,True,False,2,6
2.0,5-Apr,Dizel,85,Mostar,Audi,0,A3,57500,Audi A3 Limousine 30 TDI SS,2024,Crna,True,Prednji,Euro 6,16,Manuelni,Malo auto,False,False,False,0,2
2.0,5-Apr,Dizel,150,Sarajevo - Novi Grad,Audi,0,A5,145214,Audi A5 Sportback,2024,Crna,False,Sva četiri,Euro 5,19,Automatik,Sportski/kupe,False,True,False,2,5
2.0,5-Apr,Dizel,110,Tuzla,Audi,0,Q3,117836,AUDI Q3 Sportback 35 TDI quattro S tronic S line,2024,Crna,True,Sva četiri,Euro 6,20,Automatik,SUV,False,True,False,2,6
3.0,5-Apr,Dizel,210,Brčko,Audi,0,Q7,187447,Audi Q7 50 TDI Quattro Tiptronic S-line 286KS,2024,Crna,True,Sva četiri,Euro 6,21,Automatik,SUV,False,True,False,2,6
3.0,5-Apr,Dizel,210,Mostar,Audi,0,Q8,202500,Audi Q8 50 TDI QUATTRO S LINE 2024 GOD NEW MODEL,2024,Crna,True,Sva četiri,Euro 6,22,Automatik,SUV,False,False,False,2,6
1.5,5-Apr,Benzin,110,Mostar,Audi,0,A3,59650,Audi A3 Sportback 35 TFSI Stronic,2024,Crna,True,Prednji,Euro 6,16,Automatik,Malo auto,False,False,False,2,2
1.5,5-Apr,Benzin,110,Mostar,Audi,0,A3,60150,Audi A3 Limousine 35 TFSI Stronic,2024,Crna,True,Prednji,Euro 6,16,Automatik,Malo auto,False,False,False,2,2
2.0,5-Apr,Dizel,110,Tuzla,Audi,0,Q3,104660,Audi Q3 SPORTBACK 35 TDI quattro Stronic S line,2024,Plava,True,Sva četiri,Euro 6,18,Automatik,SUV,False,True,False,2,6
