displacement,doors,fuel,kilowatts,location,manufacturer,mileage,model,price,title,year,color,cruiseControl,drivetrain,emissionStandard,rimSize,transmission,type,airCondition,navigation,registration
2,5-Apr,Dizel,80,Kiseljak,Mercedes-Benz,203000,A 180,4400,Mercedes-Benz A 180,2005,Bijela,FALSE,Zadnji,Euro 5,16,Manuelni,unavailable,FALSE,FALSE,TRUE
2,5-Apr,Dizel,60,Ilidža,Mercedes-Benz,175000,A 160,8800,"MERCEDES-BENZ A160 CDI BLUE EFFICIENCY, 2010 GODINA",2010,Bijela,FALSE,Zadnji,Euro 5,16,Manuelni,Malo auto,TRUE,FALSE,FALSE
2.2,5-Apr,Dizel,100,Ilidža,Mercedes-Benz,425000,E 220,7500,Mercedes-Benz E 220,2006,Plava,TRUE,Zadnji,Euro 4,16,Automatik,Karavan,TRUE,FALSE,TRUE
2,5-Apr,Dizel,103,Sarajevo - Stari Grad,Mercedes-Benz,304000,B 200,9500,Mercedes-Benz B 200 tek registrovan,2008,Crna,FALSE,Prednji,Euro 4,16,Manuelni,Limuzina,TRUE,FALSE,TRUE
2.2,5-Apr,Dizel,105,Lukavac,Mercedes-Benz,395804,C 220,6999,Mercedes-Benz C 220 2003,2003,Crna,TRUE,Zadnji,Euro 4,16,Manuelni,Limuzina,TRUE,FALSE,TRUE
2,5-Apr,Dizel,105,Široki Brijeg,Mercedes-Benz,340823,220,4900,Mercedes-Benz 220 Avantgarde 2000g,2000,Siva,TRUE,Zadnji,Euro 3,16,Manuelni,unavailable,TRUE,FALSE,FALSE
2.2,5-Apr,Dizel,105,Cazin,Mercedes-Benz,320000,C 220,7000,Mercedes-Benz C 220 W203 AVANTGARDE,2003,Crna,TRUE,Zadnji,Euro 5,16,Manuelni,Limuzina,TRUE,FALSE,TRUE
2.2,5-Apr,Dizel,110,Goražde,Mercedes-Benz,295000,C 220,7800,Mercedes Benz C 220 sport edition,2005,Crna,TRUE,Zadnji,Euro 4,17,Manuelni,unavailable,TRUE,FALSE,TRUE
1.6,5-Apr,Dizel,63,Modriča,Mercedes-Benz,315000,A 160,6800,Mercedes-Benz A 160 2007,2007,Plava,TRUE,Prednji,Euro 5,16,Manuelni,unavailable,TRUE,FALSE,TRUE
1.8,3-Feb,Dizel,80,Banja Luka,Mercedes-Benz,300000,A 180,9500,Mercedes A 180 CDI 2010,2010,Crna,FALSE,Prednji,Euro 5,15,Manuelni,Malo auto,TRUE,FALSE,TRUE
1.8,5-Apr,Dizel,80,Posušje,Mercedes-Benz,290700,A 180,6280,Mercedes-Benz A 180 2005,2005,Siva,FALSE,Zadnji,Euro 4,15,Manuelni,Malo auto,TRUE,FALSE,FALSE
2.2,5-Apr,Dizel,90,Srbac,Mercedes-Benz,385385,E 200,8400,"Mercedes-Benz w211,E 200,Automatik,Odjavljen",2003,Crna,TRUE,Zadnji,Euro 4,17,Automatik,Limuzina,FALSE,FALSE,FALSE
3.2,5-Apr,Benzin,165,Tešanj,Mercedes-Benz,350000,E 320,4900,ŠVERCERI STOP Mercedes W210 E320 4matic 061693145,1999,Crna,TRUE,Sva četiri,Euro 2,16,Automatik,Limuzina,TRUE,FALSE,TRUE
2.2,5-Apr,Dizel,110,Tuzla,Mercedes-Benz,250000,C 220,8900,Mercedes-Benz C 220,2004,Siva,FALSE,Zadnji,Euro 5,16,Manuelni,unavailable,TRUE,FALSE,TRUE
3.2,5-Apr,Dizel,130,Lukavac,Mercedes-Benz,299000,280,10000,Mercedes-Benz 280 2004,2004,Srebrena,TRUE,Zadnji,Euro 4,16,Automatik,Karavan,TRUE,FALSE,TRUE
2,5-Apr,Dizel,83,Banja Luka,Mercedes-Benz,280000,A 180,8000,Mercedes-Benz A 180,2005,Siva,TRUE,Prednji,Euro 4,16,Automatik,Malo auto,TRUE,FALSE,TRUE
2.5,5-Apr,Dizel,66,Prijedor,Mercedes-Benz,500,250,7800,Mercedes Benz 124 250D REG. 03/2024,1989,Plava,FALSE,Zadnji,Euro 5,16,Manuelni,Limuzina,FALSE,FALSE,TRUE
2.2,5-Apr,Dizel,85,Gračanica,Mercedes-Benz,210000,C 200,7100,Mercedes-Benz C 200 2003,2003,Zelena,TRUE,Zadnji,Euro 3,16,Manuelni,Limuzina,TRUE,FALSE,TRUE
3.2,5-Apr,Dizel,150,Bihać,Mercedes-Benz,328000,E 320,10999,"Mercedes-Benz E 320 CDI AVANTGARDE,moze zamjena",2003,Crna,TRUE,Zadnji,Euro 5,16,Polu-automatik,Limuzina,TRUE,FALSE,TRUE
2.2,5-Apr,Dizel,100,Mostar,Mercedes-Benz,3,C 200,12500,Mercedes-Benz C 200 cdi 2010 god reg ekstra,2010,Crna,TRUE,Zadnji,Euro 5,16,Manuelni,Karavan,TRUE,TRUE,TRUE
2.2,5-Apr,Dizel,100,Banja Luka,Mercedes-Benz,322000,C 200,13000,Mercedes-Benz C 200 CDI Avangarde,2010,Siva,TRUE,Zadnji,Euro 4,16,Automatik,Karavan,TRUE,TRUE,TRUE
2.7,3-Feb,Dizel,125,Visoko,Mercedes-Benz,320000,CLK 270,13200,MERCEDES CLK 270 TEK REGISTROVAN,2005,Siva,TRUE,Prednji,Euro 4,16,Automatik,Sportski/kupe,TRUE,TRUE,FALSE
2.2,5-Apr,Dizel,85,Zavidovići,Mercedes-Benz,360000,Vito,14300,Mercedes-Benz Vito,2006,Crna,FALSE,Zadnji,Euro 4,17,Manuelni,Kombi,TRUE,TRUE,TRUE
1.8,5-Apr,Dizel,80,Pale,Mercedes-Benz,325000,B 180,11500,Mercedes-Benz B180 2008 Facelift,2008,Siva,FALSE,Prednji,Euro 4,16,Manuelni,unavailable,TRUE,TRUE,FALSE
2.2,5-Apr,Dizel,100,Ilidža,Mercedes-Benz,319129,C 200,14500,Mercedes w204 C 200 C 220 C220 C200 tek registrovan Golf Škoda,2009,Crna,FALSE,Zadnji,Euro 5,16,Manuelni,Limuzina,TRUE,FALSE,TRUE
2.2,5-Apr,Dizel,120,Maglaj,Mercedes-Benz,316000,E 220,12999,Mercedes-Benz E 220 CDI ELEGANCE 2005 MOŽE ZAMJENA,2005,Crna,FALSE,Sva četiri,Euro 5,16,Automatik,unavailable,FALSE,FALSE,TRUE
3,5-Apr,Dizel,165,Sarajevo - Novi Grad,Mercedes-Benz,355000,E 320,13400,Mercedes Benz E 320 E320 4MATIC,2005,Crna,TRUE,Sva četiri,Euro 5,18,Automatik,Limuzina,TRUE,TRUE,TRUE
2,5-Apr,Dizel,103,Banja Luka,Mercedes-Benz,290000,B 200,11300,Mercedes-Benz B 200 2008 god AUTOMATIK,2008,Siva,TRUE,Prednji,Euro 4,16,Automatik,Malo auto,TRUE,FALSE,TRUE
2.2,5-Apr,Dizel,100,Teslić,Mercedes-Benz,384000,E 200,12500,MERCEDES BENZ E200,2011,Crna,TRUE,Prednji,Euro 5,16,Automatik,Limuzina,TRUE,FALSE,FALSE
2.2,5-Apr,Dizel,100,Istočno Sarajevo,Mercedes-Benz,264000,E 220,11900,Mercedes-Benz E 220,2005,Crna,FALSE,Prednji,Euro 5,16,Manuelni,unavailable,TRUE,FALSE,TRUE
3.2,5-Apr,Dizel,150,Gradačac,Mercedes-Benz,415000,E 320,10600,Mercedes-Benz E 320 CDI ELEGANCE REDNI MOTOR,2005,Crna,TRUE,Prednji,Euro 5,16,Automatik,Limuzina,TRUE,FALSE,TRUE
2.2,5-Apr,Dizel,99,Orašje,Mercedes-Benz,390800,E 220,17000,Mercedes w212 e e220 w 212 mercedes,2011,Crna,TRUE,Prednji,Euro 5,16,Manuelni,Karavan,TRUE,TRUE,FALSE
2,5-Apr,Dizel,70,Banja Luka,Mercedes-Benz,173300,A 160,10900,Mercedes-Benz A 160 AUTOMATIK,2007,Crna,FALSE,Prednji,Euro 5,16,Automatik,unavailable,TRUE,FALSE,FALSE
2,5-Apr,Dizel,90,Orašje,Mercedes-Benz,260000,E 200,12000,Mercedes-Benz E 200 2004,2004,Crna,TRUE,Zadnji,Euro 3,18,Manuelni,Limuzina,TRUE,FALSE,TRUE
2.2,5-Apr,Dizel,90,Tešanj,Mercedes-Benz,394000,E 220,9200,Mercedes-Benz E 220,2006,Siva,TRUE,Zadnji,Euro 4,16,Automatik,Limuzina,TRUE,TRUE,TRUE
2.7,5-Apr,Dizel,130,Banja Luka,Mercedes-Benz,285000,E 270,11800,Mercedes-Benz E 270 W211,2002,Siva,TRUE,Prednji,Euro 5,17,Manuelni,unavailable,TRUE,FALSE,TRUE
2,5-Apr,Dizel,60,Vitez,Mercedes-Benz,227000,A 160,10400,MERCEDES A-KLASA 160 CDI FACELIFT 60 KW 2011,2011,Siva,FALSE,Prednji,Euro 5,16,Manuelni,Malo auto,TRUE,FALSE,FALSE
2.2,5-Apr,Dizel,100,Banja Luka,Mercedes-Benz,250000,C 200,13300,"Mercedes-Benz C 200 cdi, limuzina, 2010 godina",2010,Plava,FALSE,Prednji,Euro 5,16,Manuelni,Limuzina,FALSE,TRUE,FALSE
2.2,5-Apr,Dizel,85,Tešanj,Mercedes-Benz,229632,Vito,13500,Mercedes-Benz Vito Automatik,2007,Bijela,FALSE,Prednji,Euro 4,16,Automatik,unavailable,TRUE,FALSE,FALSE
2.2,5-Apr,Dizel,110,Ilidža,Mercedes-Benz,320000,Viano,15500,Mercedes-Benz Viano Moze zamjena DETALJNO,2003,Siva,TRUE,Prednji,Euro 3,16,Automatik,Kombi,TRUE,TRUE,TRUE
2.2,5-Apr,Dizel,100,Sarajevo - Stari Grad,Mercedes-Benz,339000,E 220,19750,Mercedes-Benz E 220 Cdi *Mod.2011* ELEGANCE * EXTRA *,2010,Siva,TRUE,Zadnji,Euro 5,17,Manuelni,unavailable,TRUE,TRUE,TRUE
2.2,5-Apr,Dizel,100,Lukavac,Mercedes-Benz,241000,C 200,17300,Mercedes-Benz C 200 2012,2012,Crna,FALSE,Zadnji,Euro 5,16,Manuelni,Karavan,TRUE,TRUE,TRUE
2.2,5-Apr,Dizel,88,Velika Kladuša,Mercedes-Benz,243000,B 180,18900,Mercedes B 180 - 2012 god - 2.2 - Automatik,2012,Bijela,TRUE,Prednji,Euro 5,17,Automatik,Monovolumen,TRUE,TRUE,FALSE
2.2,5-Apr,Dizel,125,Zavidovići,Mercedes-Benz,191200,C 220,18900,Mercedes-Benz C 220 2012 Avantgarde Registrovan.8/24,2012,Crna,TRUE,Zadnji,Euro 5,16,Manuelni,Karavan,TRUE,TRUE,FALSE
2.2,5-Apr,Dizel,125,Živinice,Mercedes-Benz,256000,E 220,18500,Mercedes-Benz E 220 2009,2009,Bijela,FALSE,Zadnji,Euro 5,16,Automatik,unavailable,TRUE,FALSE,FALSE
3,5-Apr,Dizel,185,Banja Luka,Mercedes-Benz,265000,320,19000,Mercedes-Benz 320 2007,2007,Plava,TRUE,Zadnji,Euro 5,19,Automatik,Limuzina,TRUE,FALSE,TRUE
2,5-Apr,Dizel,100,Ilidža,Mercedes-Benz,455000,E 200,20000,Mercedes-Benz E 200,2009,Bijela,TRUE,Zadnji,Euro 5,17,Automatik,Limuzina,TRUE,TRUE,TRUE
2.2,5-Apr,Dizel,88,Banja Luka,Mercedes-Benz,221085,C 180,16500,Mercedes-Benz C 180 C200 model 2012.CITATI DETALJNO !!!,2011,Crna,TRUE,Zadnji,Euro 5,17,Manuelni,unavailable,TRUE,FALSE,FALSE
2.2,5-Apr,Dizel,125,Maglaj,Mercedes-Benz,370000,E 220,17500,Mercedes Benz W212 E 220 CDI 2012 MOŽE ZAMJENA,2012,Crna,TRUE,Zadnji,Euro 5,17,Automatik,Karavan,TRUE,FALSE,TRUE
2.2,5-Apr,Dizel,125,Brod,Mercedes-Benz,249232,C 220,18650,Mercedes-Benz C 220 125KW AVANTAGARD FACELIFT,2011,Crna,TRUE,Zadnji,Euro 5,16,Automatik,unavailable,FALSE,TRUE,FALSE
1.8,5-Apr,Dizel,80,Gračanica,Mercedes-Benz,230000,B 180,18000,Mercedes-Benz B 180,2012,Crna,FALSE,Zadnji,Euro 5,16,Manuelni,unavailable,TRUE,FALSE,FALSE
2.2,5-Apr,Dizel,85,Tuzla,Mercedes-Benz,341244,Vito,15500,Mercedes-Benz Vito 2007,2007,Bijela,FALSE,Zadnji,Euro 4,16,Manuelni,Kombi,TRUE,FALSE,FALSE
1.8,3-Feb,Benzin,120,Gradiška,Mercedes-Benz,255000,SLK 200,19900,Mercedes-Benz SLK 200 Kompressor Coupe Cabrio,2005,Siva,TRUE,Zadnji,Euro 5,16,Automatik,Kabriolet,TRUE,FALSE,TRUE
3,5-Apr,Dizel,140,Gornji Vakuf-Uskoplje,Mercedes-Benz,267000,E 280,14900,Mercedes Benz E 280 cdi w211 avangarde sportpaket,2006,Crna,TRUE,Zadnji,Euro 5,18,Automatik,Limuzina,TRUE,FALSE,TRUE
2.2,5-Apr,Dizel,125,Vitez,Mercedes-Benz,309000,C 220,18200,Mercedes-Benz C 220,2008,Siva,TRUE,Zadnji,Euro 4,17,Automatik,unavailable,TRUE,TRUE,TRUE
2.2,5-Apr,Dizel,100,Laktaši,Mercedes-Benz,243000,Vito,16800,Mercedes-Benz Vito 113 automatik,2012,Crna,FALSE,Zadnji,Euro 5,16,Automatik,unavailable,FALSE,FALSE,FALSE
2,5-Apr,Dizel,140,Sarajevo - Novi Grad,Mercedes-Benz,130000,C 180,18000,Mercedes C180,2013,Crna,TRUE,Zadnji,Euro 5,16,Manuelni,unavailable,TRUE,FALSE,TRUE
2.2,5-Apr,Dizel,100,Mostar,Mercedes-Benz,279000,C 200,16800,Mercedes-Benz C-Class 2011 Blue Efficiency,2011,Bijela,TRUE,Zadnji,Euro 5,16,Manuelni,Karavan,TRUE,TRUE,TRUE
1.6,5-Apr,Benzin,88,Brčko,Mercedes-Benz,179835,B 160,17900,Mercedes-Benz B 160....1.6 ben...mod 2015 god...,2014,Siva,TRUE,Zadnji,Euro 5,16,Manuelni,Limuzina,TRUE,TRUE,FALSE
3,5-Apr,Dizel,165,Tuzla,Mercedes-Benz,230000,CLS 320,19500,Mercedes-Benz CLS 320,2007,Siva,TRUE,Zadnji,Euro 4,16,Automatik,Limuzina,TRUE,TRUE,FALSE
2.2,5-Apr,Dizel,100,Bijeljina,Mercedes-Benz,360000,C 200,14300,Mercedes-Benz C 200,2009,Siva,TRUE,Zadnji,Euro 4,16,Manuelni,unavailable,TRUE,FALSE,TRUE
2.2,5-Apr,Dizel,100,Modriča,Mercedes-Benz,277000,E 200,18800,Mercedes-Benz W211 E 200 CDi Avantgarde*2009*Xenon*Navi,2009,Srebrena,TRUE,Zadnji,Euro 4,17,Automatik,Limuzina,TRUE,TRUE,TRUE
2,5-Apr,Dizel,100,Mostar,Mercedes-Benz,289000,C 200,17900,Mercedes-Benz C 200 2010,2010,Crna,TRUE,Sva četiri,Euro 5,16,Manuelni,Limuzina,TRUE,TRUE,FALSE
2.7,5-Apr,Dizel,120,Prijedor,Mercedes-Benz,365500,ML 270,17900,Mercedes-Benz ML 270/INSPIRATION/1 VLASNIK/KAO NOV/,2002,Crna,TRUE,Sva četiri,Euro 3,17,Automatik,unavailable,TRUE,FALSE,TRUE
1.8,5-Apr,Dizel,80,Lukavac,Mercedes-Benz,220000,B 180,17990,Mercedes-Benz b180,2012,Crna,FALSE,Zadnji,Euro 5,16,Manuelni,unavailable,TRUE,FALSE,FALSE
2.2,5-Apr,Dizel,125,Prijedor,Mercedes-Benz,217800,E 220,21500,"Mercedes-Benz E220CDI 2011God 125KW ""AVANTGARDE """,2011,Siva,TRUE,Zadnji,Euro 5,17,Automatik,unavailable,TRUE,TRUE,FALSE
1.8,5-Apr,Dizel,100,Bijeljina,Mercedes-Benz,297000,A 200,22500,Mercedes A200,2013,Bijela,FALSE,Zadnji,Euro 6,18,Manuelni,Malo auto,TRUE,TRUE,TRUE
2.2,5-Apr,Dizel,100,Sarajevo - Novi Grad,Mercedes-Benz,379689,E 200,22000,Mercedes-Benz E 200 Automatik 7 brzina+     Led,2013,Crna,TRUE,Zadnji,Euro 5,16,Automatik,Limuzina,TRUE,TRUE,FALSE
2.2,5-Apr,Dizel,125,Zenica,Mercedes-Benz,270000,GLK 220,22900,Mercedes-Benz GLK 220 4 matic Panorama,2009,Crna,TRUE,Sva četiri,Euro 5,17,Automatik,SUV,FALSE,FALSE,TRUE
3,5-Apr,Dizel,170,Gradačac,Mercedes-Benz,284000,E 350,22900,"MB E 350 CDI COUPE, 3.0 CCM, 170 KW, 11/2009 ZAMJENE DA",2009,Crna,TRUE,Zadnji,Euro 5,18,Automatik,Sportski/kupe,TRUE,TRUE,FALSE
2.2,5-Apr,Dizel,125,Gradiška,Mercedes-Benz,261000,C 220,23999,Mercedes-Benz C 220CDI AMG uvoz,2013,Siva,TRUE,Zadnji,Euro 5,17,Automatik,Karavan,TRUE,TRUE,FALSE
1.8,5-Apr,Plin,120,Banja Luka,Mercedes-Benz,256000,E 200,20500,MERCEDES E 200 1.8 plin W212 reg. 10/24. *ODLICAN* 2011 AUTOMAT,2011,Crna,TRUE,Zadnji,Euro 5,18,Automatik,Limuzina,TRUE,TRUE,TRUE
2.2,5-Apr,Dizel,100,Banja Luka,Mercedes-Benz,203000,C 200,22800,Mercedes-Benz C 200 Avantgarde,2012,Siva,TRUE,Zadnji,Euro 5,17,Automatik,Limuzina,TRUE,TRUE,TRUE
2.2,5-Apr,Dizel,88,Sarajevo - Novi Grad,Mercedes-Benz,290000,C 220,21900,Mercedes Benz C 220 C220 C200 C180 MOZE ZAMJENA,2011,Crna,TRUE,Zadnji,Euro 5,17,Manuelni,Limuzina,TRUE,TRUE,TRUE
2.2,5-Apr,Dizel,125,Doboj,Mercedes-Benz,221000,C 220,23300,Mercedes-Benz C 220 4 Matic,2014,Bijela,FALSE,Sva četiri,Euro 5,17,Automatik,Karavan,FALSE,FALSE,FALSE
2.2,5-Apr,Dizel,100,Posušje,Mercedes-Benz,221000,C 200,19800,Mercedes-Benz C 200 AMG-alu,2011,Siva,FALSE,Zadnji,Euro 5,16,Manuelni,Limuzina,FALSE,FALSE,FALSE
2.2,5-Apr,Dizel,85,Sokolac,Mercedes-Benz,320,Vito,19300,*Mercedes-Benz Vito (automatic) * 8+1,2008,Siva,FALSE,Zadnji,Euro 5,16,Automatik,unavailable,TRUE,FALSE,TRUE
1.5,5-Apr,Dizel,80,Srbac,Mercedes-Benz,162700,B 180,24500,Mercedes-Benz B 180 automatik,2015,Siva,TRUE,Zadnji,Euro 6,16,Automatik,unavailable,FALSE,FALSE,TRUE
2.2,5-Apr,Dizel,150,Kiseljak,Mercedes-Benz,261000,C 250,24800,Mercedes C250 CDI AMG-Paket orginal automatic,2011,Siva,TRUE,Zadnji,Euro 5,17,Automatik,Limuzina,TRUE,TRUE,FALSE
2,5-Apr,Dizel,100,Banja Luka,Mercedes-Benz,301500,E 200,19500,Mercedes-Benz E 200  2010 BLUEEFFICIENCY REG. 01 2024,2010,Crna,TRUE,Zadnji,Euro 5,18,Automatik,Limuzina,TRUE,TRUE,TRUE
2.2,5-Apr,Dizel,100,Prijedor,Mercedes-Benz,288000,E 220,22000,Mercedes-Benz E 200,2010,Crna,TRUE,Zadnji,Euro 5,18,Automatik,Limuzina,TRUE,TRUE,TRUE
3,5-Apr,Dizel,155,Banja Luka,Mercedes-Benz,330000,S 320,23800,MERCEDES S 320 U ODLIČNOM STANJU MOŽE ZAMJENA ZA JEFTIN,2007,Crna,TRUE,Zadnji,Euro 5,16,Automatik,unavailable,TRUE,TRUE,TRUE
2.2,5-Apr,Dizel,110,Banja Luka,Mercedes-Benz,250000,Sprinter,22500,Mercedes Sprinter,2008,Bijela,TRUE,Zadnji,Euro 4,16,Automatik,Kombi,TRUE,FALSE,TRUE
2.4,3-Feb,Benzin,150,Bihać,Mercedes-Benz,89000,CLK 240,22500,Mercedes-Benz CLK 240,2004,Zlatna,FALSE,Zadnji,Euro 5,16,Automatik,unavailable,TRUE,TRUE,TRUE
2.2,5-Apr,Dizel,88,Brčko,Mercedes-Benz,300000,C 220,22500,Mercedes-Benz C 220 C 200 C 180,2011,Zlatna,FALSE,Zadnji,Euro 5,16,Manuelni,unavailable,FALSE,FALSE,FALSE
2.2,5-Apr,Dizel,125,Šamac,Mercedes-Benz,230000,E 220,21300,Mercedes-Benz E 220   reg.05.24g.  125kw Moze zamjena,2009,Zlatna,TRUE,Zadnji,Euro 5,17,Automatik,Limuzina,TRUE,TRUE,TRUE
2.2,5-Apr,Dizel,100,Visoko,Mercedes-Benz,216000,C 200,22900,"MERCEDES C200 CDI 100KW, 12/2011 GOD, LED, TEK REG",2011,Crna,TRUE,Zadnji,Euro 5,16,Automatik,Limuzina,TRUE,TRUE,TRUE
3,5-Apr,Dizel,170,Lukavac,Mercedes-Benz,328017,GLK 350,23900,Mercedes-Benz GLK 350 2010,2010,Crna,TRUE,Sva četiri,Euro 5,18,Automatik,Terenac,TRUE,FALSE,FALSE
2.2,5-Apr,Dizel,110,Zenica,Mercedes-Benz,290000,Vito,23000,Mercedes-Benz Vito Viano TEK REGISTROVAN,2007,Siva,FALSE,Zadnji,Euro 4,16,Automatik,unavailable,TRUE,TRUE,TRUE
2.2,5-Apr,Dizel,70,Lukavac,Mercedes-Benz,244000,Vito,23800,Mercedes Vito Long 110 CDI 2011 kombi višenamjensko 8+1,2011,Plava,FALSE,Zadnji,Euro 5,17,Manuelni,Kombi,TRUE,FALSE,TRUE
2.2,5-Apr,Dizel,100,Šipovo,Mercedes-Benz,300500,E 200,20500,Mercedes-Benz E 200,2011,Siva,TRUE,Prednji,Euro 5,16,Automatik,unavailable,TRUE,FALSE,TRUE
2.2,5-Apr,Dizel,100,Prijedor,Mercedes-Benz,270800,E 200,22500,Mercedes-Benz E 200 220 2.2CDI 100KW FULL STANJE ŠALTAČ,2011,Siva,FALSE,Prednji,Euro 5,16,Manuelni,unavailable,TRUE,FALSE,FALSE
1.5,5-Apr,Dizel,80,Banja Luka,Mercedes-Benz,215000,A 180,22000,Mercedes-Benz A 180 CDI,2012,Siva,TRUE,Prednji,Euro 5,17,Manuelni,Limuzina,TRUE,TRUE,FALSE
2.2,5-Apr,Dizel,125,Laktaši,Mercedes-Benz,255000,E 220,25000,Mercedes-Benz E 220,2010,Crna,TRUE,Zadnji,Euro 5,17,Automatik,Limuzina,TRUE,TRUE,TRUE
1.5,5-Apr,Dizel,80,Zenica,Mercedes-Benz,192650,CLA 180,28980,Mercedes-Benz CLA 180 Facelift,2017,Plava,TRUE,Zadnji,Euro 6,16,Automatik,unavailable,TRUE,TRUE,FALSE
2.2,5-Apr,Dizel,125,Živinice,Mercedes-Benz,187,E 220,26900,Mercedes-Benz E 220 cdi 2012god,2012,Plava,TRUE,Zadnji,Euro 5,18,Automatik,Limuzina,TRUE,TRUE,TRUE
3,5-Apr,Dizel,170,Sanski Most,Mercedes-Benz,245000,E 350,25900,Mercedes-Benz E 350 4Matic,2010,Siva,TRUE,Sva četiri,Euro 5,18,Automatik,unavailable,TRUE,TRUE,TRUE
2.2,5-Apr,Dizel,125,Velika Kladuša,Mercedes-Benz,230000,GLK 220,24900,Mercedes GLK 220 CDI - 4 Matic - Automatik - Registrovan,2009,Siva,FALSE,Sva četiri,Euro 5,17,Automatik,Terenac,TRUE,TRUE,FALSE
3,5-Apr,Dizel,165,Sarajevo - Novo Sarajevo,Mercedes-Benz,286000,GLK 320,26700,Mercedes Benz GLK 320 CDI 4matic Automatic,2009,Siva,TRUE,Sva četiri,Euro 4,20,Automatik,Terenac,TRUE,TRUE,TRUE
2.2,5-Apr,Dizel,100,Mostar,Mercedes-Benz,250000,E-Klasse (Svi),26500,Mercedes-Benz E-Klasse W212 Elegance,2012,Siva,TRUE,Zadnji,Euro 5,17,Manuelni,Limuzina,TRUE,TRUE,TRUE
3,5-Apr,Dizel,173,Ljubuški,Mercedes-Benz,206321,S 320,27990,Mercedes S 320 CDI Long 4Matic Airmatic Navi Distronic*,2007,Crna,TRUE,Sva četiri,Euro 4,17,Automatik,Limuzina,TRUE,TRUE,FALSE
2,5-Apr,Dizel,100,Vitez,Mercedes-Benz,265000,B-Klasse (Svi),24350,Mercedes B-Klasa 2015 godina automatic,2015,Crna,TRUE,Zadnji,Euro 5,16,Automatik,Limuzina,TRUE,TRUE,FALSE
2.2,5-Apr,Dizel,100,Banja Luka,Mercedes-Benz,233000,E 220,29900,Mercedes-Benz E 220 2.2 CDI 2013 G.P AUTOMATIK LIMUZINA,2013,Siva,TRUE,Zadnji,Euro 5,17,Automatik,unavailable,TRUE,TRUE,TRUE
4.2,5-Apr,Dizel,231,Laktaši,Mercedes-Benz,320000,S 420,29000,Mercedes-Benz S 420 AMG,2007,Crna,TRUE,Zadnji,Euro 5,19,Automatik,Limuzina,TRUE,TRUE,FALSE
2.2,5-Apr,Dizel,110,Ilidža,Mercedes-Benz,387,Sprinter,26500,Sprinter Kombi Automatik 8+1 Visenamjenski Zamjena,2007,Siva,FALSE,Zadnji,Euro 5,16,Automatik,unavailable,TRUE,TRUE,TRUE
