displacement,doors,fuel,kilowatts,location,manufacturer,mileage,model,price,title,updatedAt,year,color,cruiseControl,drivetrain,emissionStandard,rimSize,transmission,type,airCondition,navigation,registration
2.0,4/5,Plin,85.0,Doboj,Škoda,300000.0,Octavia,3100,Škoda Octavia,2023-07-22T10:37:09.991Z,2001.0,Zelena,FALSE,Prednji,Euro 5,16.0,Manuelni,unavailable,True,FALSE,True
1.2,4/5,Benzin,47.0,Hadžići,Škoda,171000.0,Fabia,4880,"Škoda Fabia, povoljno",2023-07-01T07:31:40.146Z,2006.0,Siva,FALSE,Prednji,Euro 4,14.0,Manuelni,unavailable,True,FALSE,True
1.9,4/5,Dizel,47.0,Zavidovići,Škoda,300000.0,Fabia,3500,Škoda Fabia 2001,2023-06-24T17:58:26.128Z,2001.0,Plava,FALSE,Prednji,Euro 3,14.0,Manuelni,Limuzina,FALSE,FALSE,True
1.2,4/5,Dizel,55.0,Vitez,Škoda,221000.0,Fabia,8950,Škoda Fabia *GREENLINE*1.2 TDI*55KW*75PS*UVOZ,2023-08-26T13:30:05.041Z,2011.0,Siva,True,Prednji,Euro 5,15.0,Manuelni,Karavan,True,FALSE,FALSE
1.8,4/5,Benzin,118.0,Ilidža,Škoda,234000.0,Octavia,9999,"ŠKODA OCTAVIA 4X4 1.8 TSI, 2011 GOD,ALU FELGE",2023-08-05T04:36:39.195Z,2011.0,Siva,FALSE,Sva četiri,Euro 5,16.0,Manuelni,Karavan,True,FALSE,FALSE
1.2,4/5,Benzin,55.0,Tuzla,Škoda,178000.0,Fabia,8900,Škoda Fabia 2010,2023-06-24T17:58:26.128Z,2010.0,Siva,FALSE,Prednji,Euro 5,16.0,Manuelni,unavailable,FALSE,FALSE,FALSE
1.2,4/5,Dizel,55.0,Doboj Jug,Škoda,229000.0,Fabia,8499,Škoda Fabia 2010,2023-06-24T17:58:26.128Z,2010.0,Siva,FALSE,Prednji,Euro 5,16.0,Manuelni,Karavan,True,FALSE,FALSE
1.4,4/5,Benzin,64.0,Kiseljak,Škoda,290000.0,Praktik,4950,Škoda Praktik 2009,2023-08-05T04:36:39.195Z,2009.0,Bijela,FALSE,Prednji,Euro 5,16.0,Manuelni,Caddy,FALSE,FALSE,True
1.2,4/5,Plin,51.0,Banja Luka,Škoda,204566.0,Fabia,6950,AKCIJA! Škoda Fabia 1.2 PLIN KLIMA TEK REG EXTRA,2023-06-24T17:58:26.128Z,2008.0,Srebrena,FALSE,Prednji,Euro 5,16.0,Manuelni,Malo auto,True,FALSE,True
1.2,4/5,Benzin,44.0,Gradiška,Škoda,118333.0,Fabia,7650,ŠKODA FABIA 1.2 44KW 2009/10GP REG 9/23 KLIMA,2023-07-01T07:31:40.146Z,2009.0,Siva,FALSE,Prednji,Euro 4,14.0,Manuelni,Limuzina,True,FALSE,True
1.4,4/5,Dizel,51.0,Banja Luka,Škoda,390000.0,Fabia,6900,"Škoda Fabia 1,4tdi Registrovan 06.2024.Oglas iz usluge",2023-07-22T10:37:09.991Z,2009.0,Siva,FALSE,Prednji,Euro 4,14.0,Manuelni,Limuzina,True,FALSE,FALSE
1.6,4/5,Dizel,66.0,Kiseljak,Škoda,239153.0,Fabia,9990,ŠKODA FABIA 1.6 TDI 66 kW 2010.god. EXTRA STANJE,2023-07-08T02:54:43.248Z,2010.0,Crna,FALSE,Prednji,Euro 5,15.0,Manuelni,Karavan,True,FALSE,FALSE
1.9,4/5,Dizel,96.0,Zenica,Škoda,297000.0,Superb,6350,ŠKODA SUPERB 1.9 96KW 2003 TOP STANJE,2023-06-24T17:58:26.128Z,2004.0,Zelena,FALSE,Prednji,Euro 3,16.0,Manuelni,Limuzina,True,FALSE,True
1.9,4/5,Dizel,77.0,Bijeljina,Škoda,355100.0,Octavia,7650,Škoda Octavia 1.9 TDI 77KW,2023-06-24T17:58:26.128Z,2005.0,Siva,FALSE,Prednji,Euro 4,15.0,Manuelni,unavailable,True,FALSE,True
1.6,4/5,Plin,75.0,Ilidža,Škoda,27011.0,Octavia,7500,Škoda Octavia 1.6 MPI 2006,2023-06-24T17:58:26.128Z,2006.0,Zelena,True,Prednji,Euro 4,16.0,Manuelni,unavailable,True,FALSE,True
1.2,4/5,Dizel,55.0,Vogošća,Škoda,211000.0,Fabia,9300,Škoda Fabia,2023-06-24T17:58:26.128Z,2010.0,Crna,True,Prednji,Euro 5,16.0,Manuelni,unavailable,True,FALSE,FALSE
1.6,4/5,Dizel,77.0,Banja Luka,Škoda,210000.0,Octavia,12200,Škoda Octavia 1.6TDI 105KS Navigacija 2011GP,2023-07-15T08:32:33.884Z,2011.0,Bijela,FALSE,Sva četiri,Euro 5,15.0,Manuelni,unavailable,True,FALSE,FALSE
1.6,4/5,Dizel,77.0,Zenica,Škoda,220000.0,Octavia,12400,Škoda Octavia 1.6 TDI 4x4 2011,2023-09-16T03:14:46.703Z,2011.0,Bijela,True,Sva četiri,Euro 5,15.0,Manuelni,Karavan,True,FALSE,True
1.6,4/5,Dizel,77.0,Visoko,Škoda,270000.0,Octavia,11400,Škoda Octavia REGISTROVANA,2024-06-08T06:47:39.122Z,2010.0,Crna,FALSE,Prednji,Euro 5,16.0,Manuelni,unavailable,FALSE,FALSE,FALSE
1.9,4/5,Dizel,77.0,Donji Vakuf,Škoda,287000.0,Octavia,11999,"Škoda Octavia 1.9 TDI, moguća zamjena skuplje/jeftinije",2023-06-24T17:58:26.128Z,2009.0,Crna,FALSE,Prednji,Euro 4,16.0,Manuelni,unavailable,True,FALSE,True
2.0,4/5,Benzin,147.0,Kiseljak,Škoda,205000.0,Octavia,12900,SKODA OCTAVIA VRS DSG AUTOMATIK,2023-07-15T08:32:33.884Z,2009.0,Žuta,True,Prednji,Euro 5,16.0,Automatik,Karavan,True,True,FALSE
1.6,4/5,Dizel,77.0,Vitez,Škoda,228000.0,Octavia,12350,Škoda Octavia A6 LIMUZINA*1.6 TDI*77KW*2011 g*TOOP,2023-07-08T02:54:43.248Z,2011.0,Smeđa,True,Prednji,Euro 5,15.0,Manuelni,Limuzina,True,FALSE,FALSE
1.8,4/5,Benzin,118.0,Ilidža,Škoda,140000.0,Yeti,11999,"ŠKODA YETI 1.8 TSI 4X4 , 2010 GODINA , KLIMA",2023-06-24T17:58:26.128Z,2010.0,Smeđa,FALSE,Sva četiri,Euro 5,16.0,Manuelni,Limuzina,True,FALSE,FALSE
1.6,4/5,Dizel,81.0,Živinice,Škoda,230154.0,Octavia,14990,Škoda Octavia A7 1.6tdi 81kw 2014god.,2023-07-29T10:18:15.342Z,2014.0,Siva,True,Prednji,Euro 5,16.0,Manuelni,Karavan,True,FALSE,FALSE
1.6,4/5,Dizel,77.0,Banja Luka,Škoda,230000.0,Fabia,11950,SKODA FABIA 1.6 TDI 77 kw 2014 G. -UVOZ,2023-07-29T10:18:15.342Z,2014.0,Siva,True,Prednji,Euro 5,15.0,Manuelni,Karavan,True,FALSE,FALSE
1.6,4/5,Dizel,66.0,Visoko,Škoda,212000.0,Fabia,11600,Škoda Fabia 1.6 TDI. 66kw 2014 god.TEK REG,2023-08-12T05:08:00.603Z,2014.0,Bijela,True,Prednji,Euro 5,15.0,Manuelni,Limuzina,True,FALSE,FALSE
2.0,4/5,Dizel,103.0,Banja Luka,Škoda,189000.0,Octavia,14860,Škoda Octavia 2.0 TDI 4x4 uvoz CH Svicarska,2023-09-30T07:14:05.713Z,2011.0,Bijela,True,Sva četiri,Euro 5,16.0,Manuelni,Kombi,True,True,True
1.6,4/5,Dizel,77.0,Brčko,Škoda,218547.0,Octavia,11999,SKODA OCTAVIA 1.6 TDI 77 KW 2012 GOD,2023-08-05T04:36:39.195Z,2012.0,Crvena,FALSE,Prednji,Euro 5,15.0,Manuelni,Karavan,True,FALSE,FALSE
1.6,4/5,Dizel,77.0,Banja Luka,Škoda,164500.0,Octavia,14800,Škoda Octavia Oktavia 4x4 uvoz CH Svicarska,2023-07-08T02:54:43.248Z,2013.0,Siva,True,Sva četiri,Euro 5,15.0,Manuelni,Karavan,FALSE,True,FALSE
1.6,4/5,Dizel,77.0,Travnik,Škoda,24566.0,Octavia,11650,Škoda Octavia uvezena tek registrovana MOZE I RENTANJE,2023-08-26T13:30:05.041Z,2012.0,Plava,True,Prednji,Euro 5,16.0,Manuelni,Karavan,True,FALSE,FALSE
2.0,4/5,Dizel,103.0,Zenica,Škoda,235000.0,Octavia,12900,Škoda Octavia 2.0 TDI 2009god Registrovana do 06/2024,2023-06-24T17:58:26.128Z,2009.0,Crvena,True,Prednji,Euro 4,16.0,Manuelni,Limuzina,True,True,True
1.6,4/5,Dizel,66.0,Posušje,Škoda,163000.0,Fabia,14000,Škoda Fabia Fresh 1.6 Tdi 066/350-500,2023-06-24T17:58:26.128Z,2014.0,Crvena,True,Prednji,Euro 5,15.0,Manuelni,Limuzina,FALSE,FALSE,FALSE
1.6,4/5,Dizel,66.0,Tuzla,Škoda,225000.0,Fabia,10400,Škoda Fabia,2023-07-01T07:31:40.146Z,2012.0,Bordo,True,Prednji,Euro 5,15.0,Manuelni,Karavan,True,FALSE,FALSE
2.0,4/5,Dizel,103.0,Ilidža,Škoda,270000.0,Superb,18900,Škoda Superb-automatik-2.0-2012.g moguća zamjena,2023-07-15T08:32:33.884Z,2012.0,Zlatna,True,Prednji,Euro 5,17.0,Automatik,Limuzina,True,True,True
2.0,4/5,Dizel,110.0,Ilijaš,Škoda,235000.0,Octavia,18500,SKODA OCTAVIA DSG 2.0TDI UVOZ ELEG OKTAVIA A7 2014 NAVI,2023-06-24T17:58:26.128Z,2013.0,Bijela,True,Sva četiri,Euro 5,17.0,Automatik,Karavan,True,True,FALSE
2.0,4/5,Dizel,103.0,Zenica,Škoda,235452.0,Yeti,15500,SKODA YETI 2.0 TDI 4X4 2010 GODINA,2023-07-15T08:32:33.884Z,2010.0,Zelena,True,Sva četiri,Euro 5,16.0,Manuelni,SUV,True,True,FALSE
2.0,4/5,Dizel,110.0,Brčko,Škoda,283235.0,Octavia,19999,SKODA OCTAVIA 2.0 TDI DSG LED-XENON ELEGANCE,2023-07-01T07:31:40.146Z,2014.0,Plava,True,Prednji,Euro 6,17.0,Automatik,Karavan,True,True,FALSE
1.4,4/5,Dizel,55.0,Brčko,Škoda,173442.0,Fabia,15900,"Škoda Fabia 1,4 tdi",2023-07-01T07:31:40.146Z,2017.0,Srebrena,FALSE,Sva četiri,Euro 5,16.0,Manuelni,unavailable,True,FALSE,True
1.6,4/5,Dizel,85.0,Široki Brijeg,Škoda,265728.0,Octavia,15989,"Škoda Octavia DRIVE,Webasto,Navi,KLIMA,PDC...",2023-11-04T08:41:41.305Z,2017.0,Srebrena,True,Sva četiri,Euro 6,17.0,Manuelni,Karavan,True,True,FALSE
1.6,4/5,Dizel,77.0,Kotor Varoš,Škoda,298000.0,Octavia,18800,Škoda Octavia 2015 1.6 tdi 4x4,2023-07-08T02:54:43.248Z,2015.0,Crna,True,Sva četiri,Euro 5,17.0,Manuelni,Karavan,True,True,True
1.6,4/5,Dizel,77.0,Tuzla,Škoda,223000.0,Octavia,16700,SKODA OCTAVIA A7 DSG TEK REGISTROVANA,2024-06-08T06:47:39.122Z,2013.0,Bijela,FALSE,Sva četiri,Euro 5,16.0,Automatik,unavailable,True,True,True
1.4,4/5,Dizel,55.0,Sarajevo - Centar,Škoda,197123.0,Fabia,15150,"Škoda Fabia 1,4 TDI 2016 God Top Stanje Škoda",2023-07-01T07:31:40.146Z,2016.0,Bijela,FALSE,Sva četiri,Euro 6,16.0,Manuelni,unavailable,True,FALSE,True
2.0,4/5,Dizel,103.0,Zenica,Škoda,239321.0,Yeti,16700,SKODA YETI 2.0 TDI 4X4 DSG 2010 GODINA,2023-07-01T07:31:40.146Z,2010.0,Zelena,True,Sva četiri,Euro 5,16.0,Automatik,SUV,True,True,FALSE
2.0,4/5,Dizel,103.0,Kiseljak,Škoda,179280.0,Yeti,15900,Škoda Yeti,2023-07-08T02:54:43.248Z,2011.0,Plava,True,Prednji,Euro 5,16.0,Manuelni,unavailable,FALSE,FALSE,FALSE
1.6,4/5,Dizel,77.0,Travnik,Škoda,203100.0,Octavia,18499,"ŠKODA OCTAVIA 1.6 TDI 2015, UVOZ, CIJENA DO REG.",2023-09-16T03:14:46.703Z,2015.0,Siva,True,Prednji,Euro 6,16.0,Manuelni,unavailable,True,FALSE,FALSE
1.9,4/5,Dizel,66.0,Sarajevo - Centar,Škoda,127000.0,Octavia,5950,Škoda Octavia Tour 1.9 TDI 2004 66kW 127.000 prešla BH porijeklo,2024-04-20T06:58:21.181Z,2004.0,Siva,True,Prednji,Euro 3,15.0,Manuelni,Limuzina,True,FALSE,True
1.6,4/5,Dizel,77.0,Visoko,Škoda,220000.0,Octavia,17400,Škoda Octavia 1.6 tdi 2014,2023-07-15T08:32:33.884Z,2014.0,Crna,True,Prednji,Euro 5,16.0,Manuelni,unavailable,True,True,True
1.4,4/5,Dizel,66.0,Kiseljak,Škoda,270000.0,Fabia,15300,Škoda Fabia 2018 LED SVJETLA 1 VLASNIK UVOZ,2023-07-08T02:54:43.248Z,2018.0,Bijela,FALSE,Prednji,Euro 6,16.0,Manuelni,Karavan,True,True,FALSE
1.6,4/5,Dizel,77.0,Kiseljak,Škoda,255765.0,Octavia,15500,Skoda Octavia 4x4 2013 Full oprema 1.6 TDI,2023-07-01T07:31:40.146Z,2013.0,Crna,True,Sva četiri,Euro 5,16.0,Manuelni,Karavan,True,True,FALSE
1.6,4/5,Dizel,77.0,Gradiška,Škoda,233258.0,Octavia,18900,Škoda Octavia,2023-07-08T02:54:43.248Z,2014.0,Crna,True,Prednji,Euro 5,17.0,Manuelni,Limuzina,True,True,FALSE
2.0,4/5,Dizel,125.0,Tešanj,Škoda,264152.0,Superb,17200,Škoda Superb 2.0 TDI DSG 212KS 450NM,2023-07-01T07:31:40.146Z,2011.0,Siva,True,Prednji,Euro 5,18.0,Automatik,unavailable,True,True,FALSE
1.6,4/5,Dizel,81.0,Tuzla,Škoda,187500.0,Octavia,21500,"Škoda Octavia A7, 1.6 tdi 2016 god. Panorama, Euro 6",2023-07-01T07:31:40.146Z,2016.0,Siva,True,Prednji,Euro 6,17.0,Manuelni,Karavan,True,True,FALSE
2.0,4/5,Dizel,103.0,Ilidža,Škoda,195000.0,Octavia Scout,18500,Škoda Octavia Scout 2.0 TDI 103 kw 2013 4x4 AUTOMATIK,2024-02-03T05:38:29.621Z,2013.0,Siva,True,Sva četiri,Euro 5,17.0,Automatik,Karavan,True,True,FALSE
2.0,4/5,Dizel,103.0,Novi Travnik,Škoda,279000.0,Octavia Scout,18700,Škoda Octavia Scout 2.0 DIZEL 4x4 AUTOMATIK,2023-09-02T05:46:57.012Z,2012.0,Siva,True,Sva četiri,Euro 5,17.0,Automatik,Karavan,True,True,FALSE
1.6,4/5,Dizel,81.0,Doboj Jug,Škoda,289000.0,Octavia,16999,Škoda Octavia 2014 NAVI ALU,2023-07-15T08:32:33.884Z,2014.0,Crna,FALSE,Prednji,Euro 5,17.0,Manuelni,Karavan,True,True,FALSE
1.6,4/5,Dizel,77.0,Istočno Sarajevo,Škoda,192000.0,Octavia,19100,Škoda Octavia Orginalna kilometraža,2023-10-22T03:23:37.676Z,2014.0,Zlatna,True,Prednji,Euro 5,16.0,Manuelni,Kabriolet,True,True,True
1.6,4/5,Dizel,77.0,Doboj,Škoda,218087.0,Superb,19900,Škoda Superb model 2015 facelift MOZE ZAMJENA,2023-08-05T04:36:39.195Z,2015.0,Crna,True,Prednji,Euro 5,16.0,Manuelni,Limuzina,True,True,FALSE
2.0,4/5,Dizel,103.0,Banja Luka,Škoda,211000.0,Octavia,15500,Škoda Octavia 2.0 TDI 4x4 2013,2023-06-24T17:58:26.128Z,2013.0,Bijela,FALSE,Sva četiri,Euro 5,16.0,Manuelni,unavailable,FALSE,True,True
2.0,4/5,Dizel,110.0,Banja Luka,Škoda,260000.0,Octavia,20000,Škoda Octavia 2.0 TDI DSG F1 FULL,2023-07-15T08:32:33.884Z,2014.0,Bijela,True,Prednji,Euro 5,17.0,Automatik,Karavan,True,True,True
1.9,4/5,Dizel,77.0,Kakanj,Škoda,390000.0,Superb,18800,Škoda Superb,2023-07-15T08:32:33.884Z,2009.0,Zelena,True,Prednji,Euro 4,16.0,Manuelni,unavailable,True,FALSE,True
1.6,4/5,Dizel,81.0,Banja Luka,Škoda,247000.0,Octavia,17500,SKODA OCTAVIA  1.6 TDI  2015 UVOZ CH,2023-06-24T17:58:26.128Z,2015.0,Crna,True,Prednji,Euro 5,16.0,Manuelni,unavailable,True,True,True
1.2,4/5,Benzin,81.0,Gacko,Škoda,218000.0,Octavia,17800,Škoda Octavia,2023-06-24T17:58:26.128Z,2015.0,Crna,FALSE,Prednji,Euro 6,16.0,Manuelni,unavailable,FALSE,FALSE,True
2.0,4/5,Dizel,110.0,Zenica,Škoda,265000.0,Octavia,21700,Škoda Octavia 2017 2.0 Tdi 4x4 Navi/Led,2023-10-21T22:24:32.711Z,2017.0,Bijela,True,Prednji,Euro 6,16.0,Manuelni,Karavan,True,True,FALSE
2.0,4/5,Dizel,103.0,Kiseljak,Škoda,300000.0,Yeti,20444,Skoda Yeti AUTOMATIK DSG 2011 God 4x4 Full Oprema,2023-07-08T02:54:43.248Z,2011.0,Crna,True,Sva četiri,Euro 5,17.0,Automatik,Monovolumen,True,True,True
1.6,4/5,Dizel,81.0,Sarajevo - Novo Sarajevo,Škoda,245000.0,Octavia,20900,Škoda Octavia 1.6 tdi 81kw 2016god 061 038 038,2023-07-01T07:31:40.146Z,2016.0,Crna,True,Prednji,Euro 5,16.0,Manuelni,Karavan,True,True,FALSE
2.0,4/5,Dizel,135.0,Sarajevo - Novo Sarajevo,Škoda,199000.0,Octavia,22990,Škoda Octavia 2.0TDI 4X4 DSG,2023-07-22T10:37:09.991Z,2015.0,Zelena,True,Sva četiri,Euro 6,17.0,Automatik,Karavan,True,True,True
2.0,4/5,Dizel,135.0,Sarajevo - Novo Sarajevo,Škoda,278000.0,Octavia,20900,Skoda Octavia 2.0 TDI DSG *4x4* 2015 *NAVI* *TOP*,2023-08-05T04:36:39.195Z,2015.0,Bijela,True,Sva četiri,Euro 5,16.0,Automatik,Karavan,True,True,FALSE
1.6,4/5,Dizel,85.0,Banja Luka,Škoda,209000.0,Octavia,23300,"Škoda Octavia 2017 1,6 TDI DSG",2023-10-21T22:24:32.711Z,2017.0,Siva,True,Prednji,Euro 6,16.0,Automatik,Karavan,True,True,FALSE
1.6,4/5,Dizel,85.0,Zenica,Škoda,207000.0,Octavia,23900,Škoda Octavia 2017 1.6 TDi DSG/Navi/Led/Karavan,2024-06-08T06:47:39.122Z,2017.0,Crna,True,Prednji,Euro 6,16.0,Automatik,Karavan,True,True,FALSE
1.6,4/5,Dizel,85.0,Tuzla,Škoda,215000.0,Octavia,21900,Škoda Octavia a7 facelift 2018 god led navi,2023-07-22T10:37:09.991Z,2018.0,Crna,True,Prednji,Euro 6,16.0,Manuelni,Karavan,True,True,FALSE
2.0,4/5,Dizel,135.0,Tešanj,Škoda,230000.0,Octavia,22900,Škoda Octavia 2.0 TDI 4x4 DSG 2016god Uvoz Svicarska,2023-11-18T11:12:17.828Z,2016.0,Srebrena,FALSE,Sva četiri,Euro 6,16.0,Automatik,unavailable,FALSE,FALSE,FALSE
1.4,4/5,Dizel,66.0,Ljubuški,Škoda,138703.0,Fabia,27990,Škoda Fabia 1.4 TDI STYLE DSG7 Navi Parktronic 90 KS *,2023-08-19T13:43:16.184Z,2018.0,Srebrena,True,Prednji,Euro 6,15.0,Automatik,Limuzina,True,True,FALSE
2.0,4/5,Dizel,103.0,Sarajevo - Novi Grad,Škoda,226000.0,Yeti,21900,Škoda Yeti 4x4 2014 god. 2.0 103kw dizel JETI XENON LED,2023-06-24T17:58:26.128Z,2014.0,Bijela,True,Sva četiri,Euro 5,17.0,Manuelni,Terenac,FALSE,True,FALSE
2.0,4/5,Dizel,103.0,Brčko,Škoda,226358.0,Yeti,23800,Škoda Yeti 2.0 TDI**103KW*FACELIFT MODEL 2015 GOD*4×4*,2023-08-05T04:36:39.195Z,2014.0,Siva,True,Sva četiri,Euro 5,16.0,Manuelni,Terenac,True,FALSE,True
2.0,4/5,Dizel,110.0,Vitez,Škoda,238000.0,Octavia,22900,"Škoda Octavia 2.0, 4x4, 2017 godina",2023-07-01T07:31:40.146Z,2017.0,Bijela,True,Sva četiri,Euro 6,16.0,Manuelni,Karavan,True,FALSE,FALSE
2.0,4/5,Dizel,110.0,Posušje,Škoda,230.0,Octavia,23000,Škoda Octavia 2.0 TDI DSG HRV. TABLE,2023-07-15T08:32:33.884Z,2015.0,Siva,True,Prednji,Euro 5,16.0,Automatik,unavailable,True,FALSE,True
1.6,4/5,Dizel,85.0,Živinice,Škoda,243000.0,Octavia,23909,Škoda Octavia A7 facelift 2018 god led navi,2023-06-24T17:58:26.128Z,2018.0,Siva,True,Prednji,Euro 6,16.0,Manuelni,Karavan,True,True,FALSE
1.6,4/5,Dizel,66.0,Banja Luka,Škoda,228000.0,Octavia,21999,Škoda Octavia Limuzina/JOY /1.6Tdi/2016gp/Top stanje,2023-09-16T03:14:46.703Z,2016.0,Bijela,True,Prednji,Euro 6,17.0,Manuelni,Limuzina,True,FALSE,FALSE
1.6,4/5,Dizel,85.0,Sarajevo - Novi Grad,Škoda,308000.0,Scala,24990,Škoda Scala 1.6 TDI,2023-12-23T04:03:35.349Z,2019.0,Bijela,True,Prednji,Euro 5,16.0,Manuelni,unavailable,True,FALSE,FALSE
1.6,4/5,Dizel,81.0,Banja Luka,Škoda,125000.0,Octavia,21900,ŠKODA OCTAVIA 1.6 TDI Automatik-125 000 kilometara-2016,2023-07-29T10:18:15.342Z,2016.0,Siva,True,Prednji,Euro 6,16.0,Automatik,Karavan,True,True,FALSE
1.6,4/5,Dizel,85.0,Prnjavor,Škoda,255120.0,Octavia,23900,Škoda Octavia 2017,2023-09-09T07:44:11.387Z,2017.0,Siva,True,Prednji,Euro 6,16.0,Manuelni,Karavan,True,True,FALSE
2.0,4/5,Dizel,103.0,Travnik,Škoda,215000.0,Superb,20300,ŠKODA SUPERB 2.0 TDI 4X4 FACELIFT TOP UVOZ CH!,2023-09-16T07:50:41.205Z,2013.0,Crna,True,Sva četiri,Euro 5,16.0,Manuelni,Karavan,True,True,FALSE
1.6,4/5,Dizel,81.0,Doboj Jug,Škoda,221000.0,Octavia,21900,"Skoda Octavia 1.6 TDI, DSG",2023-06-24T17:58:26.128Z,2016.0,Bijela,True,Prednji,Euro 6,16.0,Automatik,Limuzina,True,True,True
2.0,4/5,Dizel,135.0,Istočno Sarajevo,Škoda,247000.0,Octavia,23800,Skoda Octavia 2.0 TDI  *4x4* 2016 DSG *NAVI* *NOV AUTO*,2023-06-24T17:58:26.128Z,2016.0,Siva,True,Sva četiri,Euro 5,16.0,Automatik,Karavan,True,True,FALSE
2.0,4/5,Dizel,125.0,Vogošća,Škoda,218000.0,Superb,20900,SKODA SUPERB 2.0 TDI AMBITION *DSG*ALU*XENON*PDC*ECC,2023-09-09T07:44:11.387Z,2012.0,Siva,True,Prednji,Euro 5,17.0,Polu-automatik,Limuzina,True,FALSE,True
2.0,4/5,Dizel,110.0,Novi Travnik,Škoda,275000.0,Octavia,21299,Škoda Octavia 2.0 TDI 4X4,2023-08-26T13:30:05.041Z,2015.0,Plava,True,Sva četiri,Euro 5,18.0,Manuelni,Karavan,True,True,FALSE
1.4,4/5,Dizel,66.0,Banja Luka,Škoda,165000.0,Fabia,17500,ŠKODA FABIA 1.4 TDI DSG KLIMA NAVIGACIJA AUTOMATIK,2024-05-04T10:04:49.822Z,2017.0,Plava,True,Prednji,Euro 6,15.0,Automatik,Karavan,True,True,FALSE
1.6,4/5,Dizel,85.0,Ljubuški,Škoda,266589.0,Octavia,22700,Škoda Octavia 1.6 TDI Karavan DSG Ambition FACELIFT,2023-08-12T05:08:00.603Z,2017.0,Siva,True,Prednji,Euro 5,16.0,Automatik,Karavan,True,True,FALSE
